"DATE","TIME PERIOD","HICP - Overall index"" (ICP.M.NL.N.000000.4.ANR)"
"2009-03-31","2009Mar","1.8"
"2009-04-30","2009Apr","1.8"
"2009-05-31","2009May","1.5"
"2009-06-30","2009Jun","1.4"
"2009-07-31","2009Jul","-0.1"
"2009-08-31","2009Aug","-0.1"
"2009-09-30","2009Sep","0.0"
"2009-10-31","2009Oct","0.4"
"2009-11-30","2009Nov","0.7"
"2009-12-31","2009Dec","0.7"
"2010-01-31","2010Jan","0.4"
"2010-02-28","2010Feb","0.4"
"2010-03-31","2010Mar","0.7"
"2010-04-30","2010Apr","0.7"
"2010-05-31","2010May","0.4"
"2010-06-30","2010Jun","0.2"
"2010-07-31","2010Jul","1.3"
"2010-08-31","2010Aug","1.2"
"2010-09-30","2010Sep","1.4"
"2010-10-31","2010Oct","1.4"
"2010-11-30","2010Nov","1.4"
"2010-12-31","2010Dec","1.8"
"2011-01-31","2011Jan","1.9"
"2011-02-28","2011Feb","2.0"
"2011-03-31","2011Mar","1.8"
"2011-04-30","2011Apr","2.1"
"2011-05-31","2011May","2.3"
"2011-06-30","2011Jun","2.3"
"2011-07-31","2011Jul","3.2"
"2011-08-31","2011Aug","3.2"
"2011-09-30","2011Sep","3.0"
"2011-10-31","2011Oct","2.8"
"2011-11-30","2011Nov","2.6"
"2011-12-31","2011Dec","2.5"
"2012-01-31","2012Jan","2.9"
"2012-02-29","2012Feb","2.9"
"2012-03-31","2012Mar","2.9"
"2012-04-30","2012Apr","2.8"
"2012-05-31","2012May","2.5"
"2012-06-30","2012Jun","2.5"
"2012-07-31","2012Jul","2.6"
"2012-08-31","2012Aug","2.6"
"2012-09-30","2012Sep","2.5"
"2012-10-31","2012Oct","3.3"
"2012-11-30","2012Nov","3.2"
"2012-12-31","2012Dec","3.4"
"2013-01-31","2013Jan","3.2"
"2013-02-28","2013Feb","3.2"
"2013-03-31","2013Mar","3.2"
"2013-04-30","2013Apr","2.8"
"2013-05-31","2013May","3.1"
"2013-06-30","2013Jun","3.2"
"2013-07-31","2013Jul","3.1"
"2013-08-31","2013Aug","2.8"
"2013-09-30","2013Sep","2.4"
"2013-10-31","2013Oct","1.3"
"2013-11-30","2013Nov","1.2"
"2013-12-31","2013Dec","1.4"
"2014-01-31","2014Jan","0.8"
"2014-02-28","2014Feb","0.4"
"2014-03-31","2014Mar","0.1"
"2014-04-30","2014Apr","0.6"
"2014-05-31","2014May","0.1"
"2014-06-30","2014Jun","0.3"
"2014-07-31","2014Jul","0.3"
"2014-08-31","2014Aug","0.4"
"2014-09-30","2014Sep","0.3"
"2014-10-31","2014Oct","0.4"
"2014-11-30","2014Nov","0.3"
"2014-12-31","2014Dec","-0.1"
"2015-01-31","2015Jan","-0.7"
"2015-02-28","2015Feb","-0.5"
"2015-03-31","2015Mar","-0.3"
"2015-04-30","2015Apr","0.0"
"2015-05-31","2015May","0.7"
"2015-06-30","2015Jun","0.5"
"2015-07-31","2015Jul","0.8"
"2015-08-31","2015Aug","0.4"
"2015-09-30","2015Sep","0.3"
"2015-10-31","2015Oct","0.4"
"2015-11-30","2015Nov","0.4"
"2015-12-31","2015Dec","0.5"
"2016-01-31","2016Jan","0.2"
"2016-02-29","2016Feb","0.3"
"2016-03-31","2016Mar","0.5"
"2016-04-30","2016Apr","-0.2"
"2016-05-31","2016May","-0.2"
"2016-06-30","2016Jun","-0.2"
"2016-07-31","2016Jul","-0.6"
"2016-08-31","2016Aug","0.1"
"2016-09-30","2016Sep","-0.1"
"2016-10-31","2016Oct","0.3"
"2016-11-30","2016Nov","0.4"
"2016-12-31","2016Dec","0.7"
"2017-01-31","2017Jan","1.6"
"2017-02-28","2017Feb","1.7"
"2017-03-31","2017Mar","0.6"
"2017-04-30","2017Apr","1.4"
"2017-05-31","2017May","0.7"
"2017-06-30","2017Jun","1.0"
"2017-07-31","2017Jul","1.5"
